timestamp,inter_arrival,hop_valid,seq_delta,channel_index,payload_length,packet_rate_2s,seq_baseline_count,label
2025-11-24 15:38:14,0.050798,0,1,37,13,38,0,1
2025-11-24 15:38:14,0.051059,0,1,38,13,38,0,1
2025-11-24 15:38:14,0.051056,0,1,39,13,38,0,1
2025-11-24 15:38:14,0.051020,0,1,38,13,38,0,1
2025-11-24 15:38:14,0.051031,0,1,38,13,38,0,1
2025-11-24 15:38:14,0.050695,0,1,39,13,38,0,1
2025-11-24 15:38:15,0.051558,0,1,38,13,38,0,1
2025-11-24 15:38:15,0.050618,1,1,37,13,38,0,1
2025-11-24 15:38:15,0.051252,0,1,37,13,38,0,1
2025-11-24 15:38:15,0.050867,0,1,37,13,39,0,1
2025-11-24 15:38:15,0.051228,1,1,38,13,39,0,1
2025-11-24 15:38:15,0.051414,1,1,38,13,39,0,1
2025-11-24 15:38:15,0.051022,1,1,38,13,39,0,1
2025-11-24 15:38:15,0.051124,0,1,39,13,39,0,1
2025-11-24 15:38:15,0.051084,0,1,38,13,39,0,1
2025-11-24 15:38:15,0.053045,0,1,39,13,39,0,1
2025-11-24 15:38:15,0.051553,0,1,39,13,39,0,1
2025-11-24 15:38:15,0.051249,0,1,39,13,39,0,1
2025-11-24 15:38:15,0.051263,0,1,39,13,39,0,1
2025-11-24 15:38:15,0.052348,0,1,37,13,39,0,1
2025-11-24 15:38:15,0.050151,0,1,37,13,39,0,1
2025-11-24 15:38:15,0.051624,0,1,38,13,39,0,1
2025-11-24 15:38:15,0.072649,0,1,39,13,39,0,1
2025-11-24 15:38:15,0.057570,0,1,38,13,39,0,1
2025-11-24 15:38:15,0.051273,1,1,37,13,39,0,1
2025-11-24 15:38:16,0.051260,0,1,39,13,39,0,1
2025-11-24 15:38:16,0.051457,0,1,39,13,39,0,1
2025-11-24 15:38:16,0.050988,0,1,37,13,39,0,1
2025-11-24 15:38:16,0.052450,0,1,37,13,39,0,1
2025-11-24 15:38:16,0.050353,0,1,38,13,39,0,1
2025-11-24 15:38:16,0.052371,1,1,39,13,39,0,1
2025-11-24 15:38:16,0.050411,1,1,38,13,39,0,1
2025-11-24 15:38:16,0.050797,1,1,37,13,39,0,1
2025-11-24 15:38:16,0.051494,0,1,38,13,39,0,1
2025-11-24 15:38:16,0.050661,1,1,38,13,39,0,1
2025-11-24 15:38:16,0.051126,0,1,39,13,39,0,1
2025-11-24 15:38:16,0.051395,1,1,38,13,39,0,1
2025-11-24 15:38:16,0.051433,1,1,39,13,39,0,1
2025-11-24 15:38:16,0.051324,0,1,39,13,39,0,1
2025-11-24 15:38:16,0.051327,0,1,39,13,39,0,1
2025-11-24 15:38:16,0.051301,0,1,37,13,39,0,1
2025-11-24 15:38:16,0.051735,0,1,39,13,39,0,1
2025-11-24 15:38:16,0.050659,0,1,37,13,39,0,1
2025-11-24 15:38:16,0.051069,0,1,38,13,39,0,1
2025-11-24 15:38:17,0.051528,0,1,39,13,39,0,1
2025-11-24 15:38:17,0.050982,1,1,39,13,39,0,1
2025-11-24 15:38:17,0.051947,0,1,37,13,39,0,1
2025-11-24 15:38:17,0.051130,0,1,37,13,39,0,1
2025-11-24 15:38:17,0.051388,0,1,39,13,39,0,1
2025-11-24 15:38:17,0.051255,0,1,38,13,39,0,1
2025-11-24 15:38:17,0.051033,0,1,37,13,39,0,1
2025-11-24 15:38:17,0.051888,0,1,39,13,39,0,1
2025-11-24 15:38:17,0.050680,1,1,39,13,39,0,1
2025-11-24 15:38:17,0.051243,0,1,38,13,39,0,1
2025-11-24 15:38:17,0.050925,0,1,38,13,39,0,1
2025-11-24 15:38:17,0.051983,0,1,37,13,39,0,1
2025-11-24 15:38:17,0.051156,0,1,38,13,39,0,1
2025-11-24 15:38:17,0.051848,1,1,39,13,39,0,1
2025-11-24 15:38:17,0.051306,0,1,39,13,39,0,1
2025-11-24 15:38:17,0.051335,0,1,39,13,39,0,1
2025-11-24 15:38:17,0.050942,0,1,39,13,39,0,1
2025-11-24 15:38:17,0.080077,0,1,39,13,39,0,1
2025-11-24 15:38:17,0.057850,1,1,39,13,39,0,1
2025-11-24 15:38:18,0.051869,1,1,37,13,39,0,1
2025-11-24 15:38:18,0.050426,1,1,39,13,39,0,1
2025-11-24 15:38:18,0.050934,0,1,38,13,39,0,1
2025-11-24 15:38:18,0.051271,0,1,38,13,39,0,1
2025-11-24 15:38:18,0.051670,0,1,38,13,39,0,1
2025-11-24 15:38:18,0.051438,1,1,38,13,39,0,1
2025-11-24 15:38:18,0.051219,0,1,39,13,39,0,1
